case_id,crime_type,description
CASE-theft-000,theft,Burglary at Whitefield. Perpetrator entered through window and stole cash.
CASE-assault-000,assault,Victim was attacked near Whitefield by 2 suspects. critical injuries reported.
CASE-robbery-000,robbery,Street robbery near Jayanagar. Perpetrator fled on foot with stolen laptop.
CASE-fraud-000,fraud,Credit card skimming at Rajajinagar. 3 suspects involved in operation.
CASE-homicide-000,homicide,Homicide investigation at Koramangala. Victim identified as a 28-year-old female.
CASE-theft-001,theft,Complainant reported missing mobile phone from Yelahanka. Investigation ongoing.
CASE-assault-001,assault,Physical altercation at MG Road involving 2 persons. Weapon used: gun.
CASE-robbery-001,robbery,Street robbery near Rajajinagar. Perpetrator fled on foot with stolen jewelry.
CASE-fraud-001,fraud,Identity theft reported. Fraudulent transactions totalling Rs. 314358 detected.
CASE-homicide-001,homicide,Murder case. Body discovered at Yelahanka with moderate injuries.
CASE-theft-002,theft,Suspect stole mobile phone from Jayanagar at evening. CCTV footage shows severe.
CASE-assault-002,assault,Assault and battery case. Victim treated for minor injuries at local hospital.
CASE-robbery-002,robbery,Chain snatching incident at Koramangala. Suspect approached on motorcycle.
CASE-fraud-002,fraud,Identity theft reported. Fraudulent transactions totalling Rs. 111687 detected.
CASE-homicide-002,homicide,Murder case. Body discovered at Marathahalli with critical injuries.
CASE-theft-003,theft,Complainant reported missing mobile phone from Indiranagar. Investigation ongoing.
CASE-assault-003,assault,Assault and battery case. Victim treated for minor injuries at local hospital.
CASE-robbery-003,robbery,Armed robbery at Whitefield. Suspects brandished iron rod and demanded valuables.
CASE-fraud-003,fraud,Credit card skimming at Rajajinagar. 3 suspects involved in operation.
CASE-homicide-003,homicide,Suspicious death at Whitefield. Forensic analysis matching suspect DNA found.
CASE-theft-004,theft,Suspect stole mobile phone from Indiranagar at early morning. CCTV footage shows severe.
CASE-assault-004,assault,Victim was attacked near Rajajinagar by 3 suspects. moderate injuries reported.
CASE-robbery-004,robbery,Street robbery near Electronic City. Perpetrator fled on foot with stolen cash.
CASE-fraud-004,fraud,Credit card skimming at BTM Layout. 3 suspects involved in operation.
CASE-homicide-004,homicide,Murder case. Body discovered at Whitefield with moderate injuries.
CASE-theft-005,theft,Complainant reported missing bicycle from Marathahalli. Investigation ongoing.
CASE-assault-005,assault,Physical altercation at MG Road involving 1 persons. Weapon used: iron rod.
CASE-robbery-005,robbery,Chain snatching incident at Koramangala. Suspect approached on motorcycle.
CASE-fraud-005,fraud,Credit card skimming at Yelahanka. 2 suspects involved in operation.
CASE-homicide-005,homicide,Homicide investigation at Whitefield. Victim identified as a 45-year-old male.
CASE-theft-006,theft,Suspect stole motorcycle from MG Road at early morning. CCTV footage shows critical.
CASE-assault-006,assault,Physical altercation at Jayanagar involving 3 persons. Weapon used: knife.
CASE-robbery-006,robbery,Chain snatching incident at MG Road. Suspect approached on motorcycle.
CASE-fraud-006,fraud,Online fraud case. Victim transferred Rs. 125019 to fake account purporting to be insurance company.
CASE-homicide-006,homicide,Murder case. Body discovered at MG Road with moderate injuries.
CASE-theft-007,theft,Complainant reported missing bicycle from BTM Layout. Investigation ongoing.
CASE-assault-007,assault,Assault and battery case. Victim treated for minor injuries at local hospital.
CASE-robbery-007,robbery,Street robbery near Marathahalli. Perpetrator fled on foot with stolen laptop.
CASE-fraud-007,fraud,Identity theft reported. Fraudulent transactions totalling Rs. 285821 detected.
CASE-homicide-007,homicide,Homicide investigation at Whitefield. Victim identified as a 35-year-old male.
CASE-theft-008,theft,Burglary at Whitefield. Perpetrator entered through main door and stole documents.
CASE-assault-008,assault,Physical altercation at Koramangala involving 3 persons. Weapon used: gun.
CASE-robbery-008,robbery,Armed robbery at Marathahalli. Suspects brandished gun and demanded valuables.
CASE-fraud-008,fraud,Identity theft reported. Fraudulent transactions totalling Rs. 135415 detected.
CASE-homicide-008,homicide,Homicide investigation at BTM Layout. Victim identified as a 35-year-old male.
CASE-theft-009,theft,Complainant reported missing bicycle from Jayanagar. Investigation ongoing.
CASE-assault-009,assault,Victim was attacked near Marathahalli by 2 suspects. severe injuries reported.
CASE-robbery-009,robbery,Chain snatching incident at Rajajinagar. Suspect approached on motorcycle.
CASE-fraud-009,fraud,Online fraud case. Victim transferred Rs. 5000 to fake account purporting to be bank.
CASE-homicide-009,homicide,Homicide investigation at Koramangala. Victim identified as a 45-year-old male.
CASE-theft-010,theft,Complainant reported missing mobile phone from Koramangala. Investigation ongoing.
CASE-assault-010,assault,Physical altercation at Koramangala involving 2 persons. Weapon used: gun.
CASE-robbery-010,robbery,Armed robbery at Yelahanka. Suspects brandished iron rod and demanded valuables.
CASE-fraud-010,fraud,Credit card skimming at Electronic City. 1 suspects involved in operation.
CASE-homicide-010,homicide,Murder case. Body discovered at Yelahanka with minor injuries.
CASE-theft-011,theft,Suspect stole jewelry from Whitefield at daytime. CCTV footage shows minor.
CASE-assault-011,assault,Assault and battery case. Victim treated for minor injuries at local hospital.
CASE-robbery-011,robbery,Armed robbery at Marathahalli. Suspects brandished gun and demanded valuables.
CASE-fraud-011,fraud,Identity theft reported. Fraudulent transactions totalling Rs. 104150 detected.
CASE-homicide-011,homicide,Suspicious death at MG Road. Forensic analysis inconclusive.
CASE-theft-012,theft,Complainant reported missing cash from Jayanagar. Investigation ongoing.
CASE-assault-012,assault,Assault and battery case. Victim treated for moderate injuries at local hospital.
CASE-robbery-012,robbery,Chain snatching incident at Rajajinagar. Suspect approached on motorcycle.
CASE-fraud-012,fraud,Online fraud case. Victim transferred Rs. 493734 to fake account purporting to be online store.
CASE-homicide-012,homicide,Homicide investigation at BTM Layout. Victim identified as a 35-year-old male.
CASE-theft-013,theft,Suspect stole jewelry from Jayanagar at evening. CCTV footage shows critical.
CASE-assault-013,assault,Victim was attacked near Jayanagar by 3 suspects. critical injuries reported.
CASE-robbery-013,robbery,Street robbery near Whitefield. Perpetrator fled on foot with stolen mobile phone.
CASE-fraud-013,fraud,Credit card skimming at MG Road. 1 suspects involved in operation.
CASE-homicide-013,homicide,Suspicious death at Indiranagar. Forensic analysis inconclusive.
CASE-theft-014,theft,Burglary at Jayanagar. Perpetrator entered through window and stole bicycle.
CASE-assault-014,assault,Victim was attacked near Rajajinagar by 3 suspects. severe injuries reported.
CASE-robbery-014,robbery,Chain snatching incident at MG Road. Suspect approached on motorcycle.
CASE-fraud-014,fraud,Credit card skimming at Jayanagar. 1 suspects involved in operation.
CASE-homicide-014,homicide,Homicide investigation at MG Road. Victim identified as a 28-year-old female.
CASE-theft-015,theft,Burglary at Rajajinagar. Perpetrator entered through main door and stole mobile phone.
CASE-assault-015,assault,Victim was attacked near Yelahanka by 3 suspects. critical injuries reported.
CASE-robbery-015,robbery,Chain snatching incident at Marathahalli. Suspect approached on motorcycle.
CASE-fraud-015,fraud,Credit card skimming at Koramangala. 1 suspects involved in operation.
CASE-homicide-015,homicide,Suspicious death at Koramangala. Forensic analysis inconclusive.
CASE-theft-016,theft,Complainant reported missing mobile phone from Jayanagar. Investigation ongoing.
CASE-assault-016,assault,Assault and battery case. Victim treated for moderate injuries at local hospital.
CASE-robbery-016,robbery,Street robbery near Koramangala. Perpetrator fled on foot with stolen wallet.
CASE-fraud-016,fraud,Online fraud case. Victim transferred Rs. 92865 to fake account purporting to be bank.
CASE-homicide-016,homicide,Suspicious death at Yelahanka. Forensic analysis indicates foul play.
CASE-theft-017,theft,Complainant reported missing laptop from Whitefield. Investigation ongoing.
CASE-assault-017,assault,Physical altercation at Marathahalli involving 1 persons. Weapon used: iron rod.
CASE-robbery-017,robbery,Chain snatching incident at Indiranagar. Suspect approached on motorcycle.
CASE-fraud-017,fraud,Online fraud case. Victim transferred Rs. 105592 to fake account purporting to be bank.
CASE-homicide-017,homicide,Murder case. Body discovered at Yelahanka with critical injuries.
CASE-theft-018,theft,Complainant reported missing cash from Yelahanka. Investigation ongoing.
CASE-assault-018,assault,Physical altercation at Jayanagar involving 2 persons. Weapon used: baseball bat.
CASE-robbery-018,robbery,Street robbery near Electronic City. Perpetrator fled on foot with stolen bicycle.
CASE-fraud-018,fraud,Identity theft reported. Fraudulent transactions totalling Rs. 113221 detected.
CASE-homicide-018,homicide,Suspicious death at Yelahanka. Forensic analysis inconclusive.
CASE-theft-019,theft,Complainant reported missing wallet from Whitefield. Investigation ongoing.
CASE-assault-019,assault,Physical altercation at Whitefield involving 1 persons. Weapon used: gun.
CASE-robbery-019,robbery,Street robbery near Indiranagar. Perpetrator fled on foot with stolen cash.
CASE-fraud-019,fraud,Credit card skimming at Electronic City. 2 suspects involved in operation.
CASE-homicide-019,homicide,Homicide investigation at Electronic City. Victim identified as a 28-year-old female.
CASE-theft-020,theft,Burglary at Yelahanka. Perpetrator entered through main door and stole cash.
CASE-assault-020,assault,Physical altercation at Rajajinagar involving 1 persons. Weapon used: knife.
CASE-robbery-020,robbery,Chain snatching incident at BTM Layout. Suspect approached on motorcycle.
CASE-fraud-020,fraud,Identity theft reported. Fraudulent transactions totalling Rs. 97646 detected.
CASE-homicide-020,homicide,Murder case. Body discovered at MG Road with critical injuries.
CASE-theft-021,theft,Suspect stole laptop from Marathahalli at night. CCTV footage shows moderate.
CASE-assault-021,assault,Physical altercation at BTM Layout involving 1 persons. Weapon used: baseball bat.
CASE-robbery-021,robbery,Armed robbery at Whitefield. Suspects brandished iron rod and demanded valuables.
CASE-fraud-021,fraud,Credit card skimming at Jayanagar. 2 suspects involved in operation.
CASE-homicide-021,homicide,Suspicious death at Indiranagar. Forensic analysis indicates foul play.
CASE-theft-022,theft,Burglary at Rajajinagar. Perpetrator entered through window and stole laptop.
CASE-assault-022,assault,Assault and battery case. Victim treated for minor injuries at local hospital.
CASE-robbery-022,robbery,Chain snatching incident at BTM Layout. Suspect approached on motorcycle.
CASE-fraud-022,fraud,Online fraud case. Victim transferred Rs. 467725 to fake account purporting to be government agency.
CASE-homicide-022,homicide,Murder case. Body discovered at Indiranagar with moderate injuries.
CASE-theft-023,theft,Burglary at Whitefield. Perpetrator entered through window and stole documents.
